Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Type Reclassify,Partition
298.100,308.600,1551,42.800,0,0,"2","1_Training"
298.200,308.700,1408,46.300,3,0,"1","1_Training"
298.100,308.500,1498,49.400,5,0,"1","2_Testing"
298.200,308.600,1433,39.500,7,0,"1","1_Training"
298.200,308.700,1408,40.000,9,0,"1","1_Training"
298.100,308.600,1425,41.900,11,0,"2","2_Testing"
298.100,308.600,1558,42.400,14,0,"1","2_Testing"
298.100,308.600,1527,40.200,16,0,"1","2_Testing"
298.300,308.700,1667,28.600,18,0,"2","2_Testing"
298.500,309.000,1741,28.000,21,0,"2","1_Training"
298.400,308.900,1782,23.900,24,0,"3","1_Training"
298.600,309.100,1423,44.300,29,0,"3","1_Training"
298.600,309.100,1339,51.100,34,0,"2","2_Testing"
298.600,309.200,1742,30.000,37,0,"2","2_Testing"
298.600,309.200,2035,19.600,40,0,"1","2_Testing"
298.600,309.200,1542,48.400,42,0,"1","1_Training"
298.600,309.200,1311,46.600,44,0,"2","1_Training"
298.700,309.200,1410,45.600,47,0,"2","2_Testing"
298.800,309.200,1306,54.500,50,0,"3","1_Training"
298.900,309.300,1632,32.500,55,0,"2","2_Testing"
298.900,309.300,1375,42.700,58,0,"3","1_Training"
298.800,309.300,1450,44.800,63,0,"1","1_Training"
298.900,309.300,1581,30.700,65,0,"2","1_Training"
299.000,309.400,1758,25.700,68,0,"1","1_Training"
299.000,309.400,1561,37.300,70,0,"2","1_Training"
299.000,309.500,1861,23.300,73,0,"1","2_Testing"
299.100,309.500,1512,39.000,75,0,"1","1_Training"
299.100,309.400,1811,24.600,77,0,"3","2_Testing"
299.100,309.400,1439,44.200,82,0,"1","1_Training"
299.000,309.400,1693,30.100,84,0,"1","1_Training"
299.100,309.500,1339,48.200,86,0,"2","1_Training"
299.000,309.400,1798,25.500,89,0,"1","2_Testing"
299.000,309.400,1419,48.300,91,0,"1","2_Testing"
298.900,309.300,1665,32.500,93,0,"1","1_Training"
298.800,309.100,1559,34.700,95,0,"2","1_Training"
298.800,309.200,1452,48.600,98,0,"2","1_Training"
298.900,309.200,1581,36.700,101,0,"2","1_Training"
298.800,309.100,1439,39.200,104,0,"1","1_Training"
298.900,309.200,1379,50.700,106,0,"3","2_Testing"
298.800,309.100,1350,52.500,111,0,"1","1_Training"
298.800,309.100,1362,45.400,113,0,"1","1_Training"
298.800,309.100,1368,50.800,115,0,"1","1_Training"
298.800,309.100,1368,49.100,117,0,"2","1_Training"
298.800,309.200,1372,48.500,120,0,"3","1_Training"
298.800,309.100,1472,47.500,125,0,"2","2_Testing"
298.800,309.100,1489,49.100,128,0,"1","1_Training"
298.700,309.000,1843,25.800,130,0,"2","2_Testing"
298.800,309.100,1418,46.300,133,0,"1","2_Testing"
298.800,309.200,1425,53.900,135,0,"3","1_Training"
298.900,309.200,1412,44.100,140,0,"2","1_Training"
298.900,309.100,1383,54.900,145,0,"1","1_Training"
298.800,309.000,1497,43.800,147,0,"3","2_Testing"
298.700,309.000,1565,35.100,152,0,"1","1_Training"
298.700,309.000,1691,30.100,154,0,"1","2_Testing"
298.800,309.100,1512,40.700,156,0,"1","1_Training"
298.800,309.100,1477,42.400,158,0,"1","1_Training"
298.800,309.100,1513,40.300,160,0,"1","1_Training"
298.800,309.000,1661,29.500,162,0,"2","1_Training"
298.800,309.100,1378,54.400,165,0,"1","2_Testing"
298.800,309.100,1393,52.600,167,0,"1","1_Training"
298.800,309.000,1592,38.200,169,0,"2","1_Training"
298.800,309.000,1829,22.900,172,0,"1","1_Training"
298.900,309.000,1812,25.900,174,0,"2","1_Training"
299.000,309.100,1523,38.600,177,0,"1","1_Training"
299.000,309.100,1394,45.100,179,0,"1","1_Training"
298.900,308.900,1679,28.700,181,0,"2","1_Training"
298.800,308.900,1466,44.100,184,0,"3","1_Training"
298.800,308.900,1527,32.400,189,0,"1","1_Training"
298.900,309.000,1924,22.600,193,0,"2","1_Training"
298.900,309.100,1452,45.500,196,0,"1","1_Training"
298.900,309.100,1369,44.400,198,0,"1","2_Testing"
299.000,309.100,1592,35.000,200,0,"1","2_Testing"
298.900,309.000,1601,32.300,202,0,"1","2_Testing"
298.800,308.900,1379,46.700,204,0,"1","1_Training"
298.800,308.900,1461,47.900,206,0,"1","2_Testing"
298.800,308.900,1398,51.500,0,0,"1","1_Training"
298.800,308.900,1402,37.900,2,0,"1","1_Training"
